iter	PRAUC:type=Classic	Logloss
836	0.6825441588	0.6283380454
837	0.6825699232	0.628311604
838	0.6826394421	0.6282800514
839	0.6826928269	0.6282413429
840	0.6827853494	0.6282021601
841	0.6829176213	0.6281636185
842	0.6829799668	0.6281155087
843	0.6830403332	0.6280741036
844	0.6831618708	0.6280269679
845	0.6832117387	0.6279930186
846	0.683247129	0.627979777
847	0.6833207121	0.6279508134
848	0.6833694461	0.6279127167
849	0.6833965108	0.6278908197
850	0.6834851732	0.6278655713
851	0.6835727778	0.6278201988
852	0.6836438272	0.6277812972
853	0.6836656242	0.6277634061
854	0.6837070066	0.6277371591
855	0.6837500606	0.6276986385
856	0.6838046413	0.6276670148
857	0.6838513018	0.6276329176
858	0.6838639532	0.6276082246
859	0.6839563076	0.6275563734
860	0.6840249664	0.627500491
861	0.6840423517	0.6274662297
862	0.6840688978	0.6274421001
863	0.6840957274	0.6273774811
864	0.6841814885	0.6273439604
865	0.6842498809	0.6273054038
866	0.6843025461	0.627288146
867	0.6843898604	0.6272494341
868	0.6844445786	0.6272178639
869	0.6844975382	0.6271925217
870	0.6845410836	0.6271660605
871	0.6846322538	0.6271343186
872	0.6847290249	0.6270985277
873	0.6847068497	0.627067495
874	0.6847529255	0.6270377065
875	0.6848200566	0.6270012298
876	0.6848691975	0.6269756525
877	0.6849151417	0.6269494229
